,taxid,seasonality,curr,pnv,perc
10624,22721339, resident,29801633536,35817740032,0.832035564
10625,103878755, resident,1.26169E+12,1.47746E+12,0.853959306
10626,22721315, resident,86820323760,1.11731E+11,0.777046358
10627,22721185, nonbreeding,1.29555E+11,1.58841E+11,0.815628164
10628,22721291, resident,4311039568,5641365056,0.764183761
10629,103776515, resident,49227282312,81112820512,0.606898909
10630,22721280, resident,72188481831,84072816901,0.858642359
10633,22721347, resident,1.33945E+11,1.59172E+11,0.84151108
10634,22721224, resident,1.52175E+11,1.60628E+11,0.947374786
10635,22724923, resident,1490685888,3780217344,0.394338672
10636,22721307, resident,31033396088,34148636416,0.908774093
10637,22721185, breeding,1.50229E+11,2.40041E+11,0.6258489
10638,22724065, resident,6.18639E+11,1.05795E+12,0.584754228
10639,22721566, resident,5248159664,6255227040,0.839003865
10640,22721272, breeding,1.04966E+12,1.07975E+12,0.972131323
10641,22721557, resident,2417893432,2543312232,0.950686825
10642,22721560, resident,4748847552,5565338112,0.853290035
10643,22721533, resident,21701116328,22794944566,0.952014437
10644,22721179, nonbreeding,2.12083E+12,2.13987E+12,0.991100503
10647,22721429, resident,1.59857E+11,2.33613E+11,0.684278361
10649,22722522, resident,40081291848,1.05592E+11,0.379587439
10652,22721179, breeding,2.64109E+12,3.66743E+12,0.720147957
10653,22721304, breeding,7.28145E+11,1.51809E+12,0.479645537
10654,22722317, resident,1.33246E+11,1.58199E+11,0.842270463
10655,22721310, nonbreeding,1.03394E+12,1.55598E+12,0.664494939
10656,22721294, resident,2.61049E+11,3.89071E+11,0.670955073
10659,22722281, resident,9913160720,11743972400,0.844106269
10661,22721165, breeding,2.47425E+12,3.14896E+12,0.785735157
10662,22723128, resident,3529973296,4053114464,0.870928598
10665,22721934, resident,3916318224,4439958896,0.88206182
10666,22722924, resident,6108774800,7395811776,0.825977592
10667,22723869, resident,3.41959E+11,6.59847E+11,0.518240062
10668,22722377, resident,1.00732E+11,1.32704E+11,0.759073171
10669,22722803, resident,60000538560,1.01977E+11,0.588372262
10670,22722988, resident,1.46655E+11,1.87466E+11,0.782302084
10671,22722086, resident,1.19864E+11,2.05962E+11,0.581973492
10673,22721367, resident,4.75271E+11,6.33305E+11,0.750461485
10674,22722022, resident,1288407816,1328022116,0.970170452
10675,22721888, nonbreeding,41919458581,50113246228,0.836494575
10676,22721888, breeding,41919458581,50113246228,0.836494575
10677,22729107, resident,2.88791E+11,6.2347E+11,0.463199939
10679,22721310, breeding,1.68274E+12,2.8398E+12,0.592554843
10681,22721894, nonbreeding,71246618803,78899648387,0.903002995
10682,22722019, resident,99150511879,1.18331E+11,0.837907669
10683,22721955, nonbreeding,86051250256,1.53724E+11,0.559776239
10684,22721955, breeding,95344111728,1.54172E+11,0.6184276
10687,22723846, resident,5.31035E+12,5.97704E+12,0.888458377
10688,22721064, breeding,3.23864E+12,3.44997E+12,0.938745079
10690,22723009, resident,5.38089E+12,6.21209E+12,0.866197382
10694,22721088, breeding,6.67788E+12,6.95513E+12,0.96013669
10696,22721679, breeding,2.84342E+11,5.87161E+11,0.484265496
10697,22722041, resident,2.11885E+12,2.35219E+12,0.900796141
10698,22721683, breeding,7.74813E+11,8.3508E+11,0.927831103
10699,22734997, nonbreeding,4.26117E+12,7.95931E+12,0.535369258
10700,103879804, resident,5.14047E+12,7.81751E+12,0.657559209
10702,22721725, breeding,9.48959E+11,1.48665E+12,0.638321824
10703,22721719, nonbreeding,4.24399E+11,8.70306E+11,0.487643533
10705,22721854, resident,14522556301,27617583210,0.525844575
10706,22734997, breeding,5.15981E+12,1.00672E+13,0.512534263
10707,22721882, breeding,1.83599E+12,2.15832E+12,0.850657473
10708,22722991, nonbreeding,1.03388E+13,1.1658E+13,0.886836801
10709,22722991, breeding,1.03388E+13,1.1658E+13,0.886836801
10710,22721695, breeding,1.41094E+12,1.75922E+12,0.802023901
10714,22721664, breeding,2.13886E+12,2.1714E+12,0.985016251
10717,22721876, breeding,9.48578E+11,1.94257E+12,0.488311736
10719,22721651, resident,3130316800,3458665936,0.905064802
10720,22721812, breeding,8.80848E+11,1.89449E+12,0.464951892
10721,22721719, breeding,1.12608E+12,1.94948E+12,0.577633857
10722,22723872, resident,6.47593E+12,8.32013E+12,0.778344851
10723,22721636, breeding,1.03333E+11,1.65848E+11,0.623057208
10724,22721670, breeding,1.58398E+12,1.83409E+12,0.863629517
10725,22723000, resident,6.17091E+12,7.50493E+12,0.822247027
10728,103883277, nonbreeding,4.11302E+12,9.60767E+12,0.42809786
10732,22721645, resident,1.11557E+11,1.19355E+11,0.93467007
10733,22721818, breeding,8.16716E+11,1.05543E+12,0.773826027
10734,103883277, breeding,6.34476E+12,1.31697E+13,0.481769134
10738,22721765, breeding,7.92524E+11,1.90732E+12,0.415516882
10739,22722790, resident,10899596864,15147802880,0.71954969
10740,22720362, resident,6374862717,6575623261,0.969468971
10741,22721768, breeding,8.6764E+11,1.70334E+12,0.509374972
10743,22722744, resident,5462495872,14264603648,0.382940599
10744,22722763, resident,6098627520,7159592544,0.851812094
10745,22721667, breeding,2.29893E+12,2.65415E+12,0.866165
10746,22721824, breeding,2.09878E+12,2.45004E+12,0.856627845
10747,22722787, resident,73134251488,1.24607E+11,0.586918707
10748,22721879, breeding,7.36602E+12,7.51599E+12,0.980047355
10749,22721627, breeding,1.82042E+12,2.21011E+12,0.823677756
